Time(s)	Voltage(V)	Current(mA)
0.974	35.928	0.000
1.119	299.097	0.007
1.540	298.180	0.006
1.664	298.486	0.005
1.837	298.791	0.003
1.963	299.097	0.006
2.092	298.486	0.001
2.248	298.486	0.004
2.395	298.486	0.001
2.543	298.791	0.003
2.675	298.180	0.001
2.801	298.791	0.005
2.956	298.486	0.008
3.094	298.486	0.004
3.245	298.486	-0.002
3.374	298.791	0.008
3.504	298.791	0.005
3.649	298.486	0.000
3.785	298.791	0.006
3.962	298.791	0.003
4.099	298.791	0.006
4.243	299.097	0.005
4.411	298.486	0.003
4.551	298.486	-0.002
4.715	298.486	0.009
4.858	298.486	0.005
5.001	298.486	0.006
5.149	298.791	0.006
5.286	298.791	0.005
5.435	298.180	0.006
5.570	298.486	0.004
5.697	298.486	0.002
5.860	298.486	0.005
6.001	298.791	-0.001
6.163	298.486	0.004
6.290	298.791	0.007
6.438	298.791	0.005
6.595	298.486	0.004
6.727	297.874	0.006
6.876	298.791	0.003
7.008	297.874	0.002
7.136	299.097	0.012
7.304	298.180	0.003
7.431	298.180	0.001
7.587	298.791	0.008
7.715	298.180	0.007
7.855	298.791	0.002
8.006	298.486	0.006
8.151	298.180	0.005
8.296	299.097	0.009
8.441	298.791	0.005
8.581	298.486	0.007
8.727	299.097	0.010
8.852	299.097	0.008
9.028	298.486	0.011
9.159	298.180	0.010
9.290	298.486	0.015
9.439	298.791	0.020
9.580	298.486	0.029
9.730	298.791	0.040
9.864	298.486	0.058
9.990	299.403	0.079
10.154	298.486	0.105
10.293	298.180	0.171
10.460	298.486	0.216
10.602	299.097	0.269
10.745	298.486	0.330
10.896	298.791	0.390
11.031	298.791	0.466
11.188	298.486	0.554
11.325	299.097	0.677
11.468	298.486	0.736
11.622	298.486	0.664
11.749	298.486	0.686
11.900	298.486	0.826
12.029	298.486	0.999
12.170	298.486	1.046
12.317	298.486	1.069
12.461	299.097	1.145
12.630	298.791	1.336
12.759	298.486	1.672
12.900	298.486	1.902
13.068	298.791	2.253
13.219	298.486	2.439
13.379	298.180	2.809
13.508	298.791	3.246
13.638	298.486	3.676
13.795	298.791	4.188
13.941	298.486	4.716
14.087	298.180	5.197
14.232	298.486	5.694
14.359	299.403	6.152
14.514	298.791	6.692
14.651	298.791	6.947
14.812	298.486	7.261
14.943	299.403	7.510
15.090	298.791	7.987
15.237	298.486	8.523
15.380	298.180	9.154
15.540	298.486	9.714
15.685	298.486	10.020
15.812	298.486	10.777
15.965	298.486	11.267
16.091	298.791	11.150
16.242	299.097	9.870
16.369	298.791	10.421
16.502	298.791	10.345
16.648	298.486	10.865
16.787	298.486	8.956
16.948	298.486	8.940
17.089	298.791	11.782
17.212	298.486	11.968
17.365	298.180	12.387
17.492	297.569	12.663
17.659	299.097	12.195
17.789	298.791	11.454
17.940	298.791	11.245
18.088	298.486	12.148
18.235	298.486	12.251
18.383	298.791	12.966
18.530	298.791	13.185
18.668	298.791	16.368
18.821	298.180	17.051
18.949	298.486	18.075
19.116	298.180	19.074
19.243	299.097	20.040
19.389	298.791	20.542
19.546	298.486	28.812
19.680	298.791	32.427
19.828	298.180	35.656
19.960	298.180	39.901
20.100	298.486	45.048
20.265	298.486	52.156
20.390	298.791	58.663
20.561	298.791	68.744
20.690	298.791	81.287
20.839	299.403	95.927
20.988	297.263	116.690
21.131	297.874	149.278
21.308	277.701	185.526
21.445	230.936	170.687
21.574	213.819	162.947
21.730	204.038	164.373
21.868	194.563	160.776
22.038	191.812	160.073
22.179	186.921	158.110
22.327	184.782	154.391
22.474	199.148	151.866
22.618	208.929	155.967
22.762	211.374	158.729
22.909	212.596	155.088
23.040	212.902	154.335
23.203	221.460	154.789
23.331	223.294	158.227
23.481	220.543	158.415
23.609	221.155	159.841
23.752	215.347	159.880
23.898	222.072	146.297
24.043	226.351	152.858
24.191	231.241	157.641
24.320	228.491	158.350
24.460	230.019	157.340
24.612	227.268	160.830
24.740	227.268	156.767
24.908	229.102	157.752
25.050	228.185	157.258
25.190	229.407	157.208
25.350	231.241	157.391
25.482	231.241	157.805
25.635	230.936	157.774
25.782	232.464	157.358
25.909	232.158	156.779
26.065	231.547	157.927
26.192	233.687	157.508
26.366	234.909	157.535
26.496	234.909	159.797
26.662	227.268	159.244
26.808	226.351	158.013
26.950	228.796	157.875
27.096	227.574	157.196
27.233	229.407	157.265
27.361	230.019	156.732
27.512	229.713	156.572
27.655	233.992	157.759
27.821	232.770	157.623
27.954	231.241	157.583
28.105	232.158	157.620
28.252	232.770	157.972
28.396	231.241	157.805
28.544	230.630	158.172
28.689	229.713	157.528
28.827	229.102	157.605
28.996	231.241	157.643
